Code;Título;Tempo inicial;Tipo;Situação;Link;Vídeo base
V58;Os segredos por trás de uma venda;16:38;Feed;Enviado;https://drive.google.com/open?id=1Q0QdfU5tRS7PGlsIYjOHz-QdR6_AzEXy;Técnicas poderosas para criar conexão com seu cliente
V59;Essas 7 perguntas vão fazer uma enorme diferença no seu negócio - extrair nome da técnica e colocar antes no vídeo;16:13;Feed;Enviado;https://drive.google.com/file/d/1pVP_-FHE6JQlgsfmB4ONrx8kSpJvPmRG/view?usp=sharing;Técnicas poderosas para criar conexão com seu cliente
V60;Assita esse vídeo se você quer saber o que está na cabeça do seu cliente;10:42;Feed;Enviado;https://drive.google.com/file/d/1PZ_1zGnsH5JXrGvf8-PGQgMx3ldg0UtH/view?usp=sharing;Técnicas poderosas para criar conexão com seu cliente
V61;É assim que você descobre como transformar um NÃO em SIM!;13:12;Feed;Enviado;https://drive.google.com/file/d/11qR0E3Wf7wm4LJlhEq3ZcdSW5pbc2nNi/view?usp=sharing;Técnicas poderosas para criar conexão com seu cliente
V62;Se você quiser, de verdade, transformar um NÃO em SIM faça isso!;13:42;Feed;Enviado;https://drive.google.com/file/d/1J0NS7YcrrxFqPXHQrqd3sOG9-N_uJhG_/view?usp=sharing;Técnicas poderosas para criar conexão com seu cliente
V63;Definitivamente esse 1º passo te ajudará a ter mais clientes;17:54 - 18:01;Feed;Enviado;https://drive.google.com/file/d/1EqQpLfHbHEqT2-38q2-1nHwDBVlOcX5V/view?usp=sharing;Técnicas poderosas para criar conexão com seu cliente
V64;Existe uma segunda intenção nesse pedido...;01:04;Feed;Enviado;https://drive.google.com/file/d/1ENacLeSjEzVKQpMnUfgR65lgw9sY0Rj3/view?usp=sharing;Pé na porta
V65;Por que o Pé na Porta aumenta suas vendas?;02:57;Feed;Enviado;https://drive.google.com/file/d/1pH0G0Te949NGuzQNEW9EzhNedQpZD7_3/view?usp=sharing;Pé na porta
V66;O Pé na Porta está ultrapassado?;04:01;Feed;Reprovado;https://drive.google.com/file/d/1hOorFR0TwsIWZgOZlPyLiwnOX6xPO4fO/view?usp=sharing;Pé na porta
V67;O SEGREDO por trás dos bônus digitais.;04:31;Feed;Enviado;https://drive.google.com/file/d/1YZxweQp3-4o-s_GaVBzzkWMBOpbXoXG8/view?usp=sharing;Pé na porta
V68;Como aplicar essa técnica e conseguir mais SINS;05:22;Feed;Reprovado;https://drive.google.com/file/d/1X8w8SJHgH5hVurhZBKYqTedM2gLbrwj_/view?usp=sharing;Pé na porta
V69;Ela faz isso você querendo ou não! - PADRONIZAÇÃO ANTERIOR;06:41;Feed;Enviado;https://drive.google.com/file/d/1JIpO1WlARhAbbxqxNfx0_5samJKT3Rer/view?usp=sharing;Pé na porta
V70;Quanto mais você fizer isso, mais fácil será vender!;07:16;Feed;Enviado;https://drive.google.com/file/d/1vs0nGec7_JnBCg7yY6qoDFcxXTn6gGjY/view?usp=sharing;Pé na porta
V71;Essa moeda vale mais do que o EURO!;07:54;Feed;Enviado;https://drive.google.com/file/d/1n3LstIc11s8PpeswOyabHgfG4VCiLG0Q/view?usp=sharing;Pé na porta
V72;Se você quer atrair melhores clientes faça isso!;09:06;Feed;Enviado;https://drive.google.com/file/d/1pcODgSuozKN9HlCEe8yFW5YdATN-e-yt/view?usp=sharing;Pé na porta
V73;O quanto antes você souber isso, mais você será reconhecida!;09:59;Feed;Enviado;https://drive.google.com/file/d/1aYouIFJ_EeR-_jv0UV7yRtpwZ6co05jV/view?usp=sharing;Pé na porta
A82;Essa técnica simples te leva para mais perto do cliente ideal;;Feed;Enviado;https://drive.google.com/file/d/1hD2tW8f3lBKhiBjMYxF7aa1fvoeh9ALV/view?usp=sharing;t_voice5064837160151023890
A83;Sabe quando o santo bate com o do cliente? É por causa disso!;;Feed;Enviado;https://drive.google.com/drive/folders/1OIWppbRSWkIBMKScQfueV4TXtmPDZ8uC?usp=sharing;t_voice5064837160151023890
A84;Crie uma sintonia quase instantânea com seu cliente fazendo isso;;Feed;Enviado;https://drive.google.com/file/d/1KHda17Uxg5oMQgNBWXktWu3mOnsBUPbQ/view?usp=sharing;t_voice5064837160151023890
A85;Basta ser um bom profissional ou tem que saber vender? ;;Feed;Enviado;https://drive.google.com/file/d/1QlkpJfwzJyinoxBDwHomkWguxNVK32mX/view?usp=sharing;t_voice5064837160151023891
A86;É por isso você tem receio de VENDER seu peixe! ;;Feed;Enviado;https://drive.google.com/file/d/1K1zVrFskSYwmEGV3FjcucJTdI1G45pTw/view?usp=sharing;t_voice5064837160151023891
A87;O passo a passo para saber vender o seu peixe;;Feed;Enviado;https://drive.google.com/file/d/1GK_qRqdQ0Fd7BQbQoGTLgSlLxKBaqguJ/view?usp=sharing;t_voice5064837160151023891
A88;Você precisa disso para o cliente valorizar o seu trabalho!;;Feed;Enviado;https://drive.google.com/file/d/1YMeOkjQeB-RUHKa6Brf0Hc6MsTXy2Otg/view?usp=sharing;t_voice5064837160151023891
A89;Chegou a hora de fazer isso e ser mais valorizado;;Feed;Enviado;https://drive.google.com/file/d/1qvuUjWvFwBjIVIGyIOdO54Z6kWpnbfjf/view?usp=sharing;t_voice5064837160151023891
A90;Os profissionais que faturam mais entendem isso!;;IGTV;Enviado;https://drive.google.com/file/d/1j4U4NvX5KsUyk10VJxlrbWqJt4TA5RU4/view?usp=sharing;t_voice5067088959964709083
A91; Isso é o que pode estar te impedindo de ser um profissional melhor!;;Feed;Enviado;https://drive.google.com/file/d/18X5_2eqCpegLylfBUH0dIcCDPqQca3vK/view?usp=sharing;t_voice5067088959964709083
A92;O cliente sabe que você é realmente bom quando você faz isso!;;Feed;Enviado;https://drive.google.com/file/d/1ttOHPp0Sh61wdq7Ux5CDlfhaWSPCz45S/view?usp=sharing;t_voice5067088959964709083
A93;Use essa dica prática e seja mais reconhecido;;Feed;Enviado;https://drive.google.com/file/d/1U0UXH1JpLlk2vxAua4ktoYB3mYeI-lZJ/view?usp=sharing;t_voice5067088959964709083
A94;Essa é uma das tarefas que mais faz você perder tempo e dinheiro;;Feed;Enviado;https://drive.google.com/file/d/1W3vgYnNMgof9hI2ArQJHlwnBtBu1e4il/view?usp=sharing;t_voice5067088959964709083
A95;Os processos do seu negócio são que nem passar maquiagem...;;IGTV;Enviado;https://drive.google.com/file/d/16ri7GJyh1Oo1ZNH0LzvMgy6LNsm76XTp/view?usp=sharing;t_voice5067088959964709084
A96;Se você projeta assim, é isso que acontece com seu negócio!;;Feed;Enviado;https://drive.google.com/file/d/1IJg60s-8aCY_PNROp2Kv6YMtostdvMYp/view?usp=sharing;t_voice5067088959964709084
A97;Aprenda com nossos erros e acertos na Semana Chora CAD.;;Feed;Reprovado;https://drive.google.com/file/d/167YEGU7pVJYa87MSW2YXBQMQpPu8SvhQ/view?usp=sharing;t_voice5067088959964709084
A98;Isso vai facilitar muito a sua vida!;;Feed;Reprovado;https://drive.google.com/file/d/1uwSXRlNqffxxreKgEanXE0aVp5IfEF7h/view?usp=sharing;ANDREA.1
A99;“É dar 2 passos para trás para dar 5 para frente...”;;IGTV;Enviado;https://drive.google.com/file/d/1u2tiJSXs-VfcJLsaYiLnsrEwvDfCeMrL/view?usp=sharing;ANDREA.3
A100;O sucesso não tem data certa para chegar. Será?;;IGTV;Enviado;https://drive.google.com/file/d/1Y_r8pZVgfLu3amSeF17itxdERHBoK04U/view?usp=sharing;ANDREA.5
A101;É isso que fará você colher mais frutos no presente ;;IGTV;Enviado;https://drive.google.com/file/d/1Ud_jySiqyp6kD97ll72rVOB2WxO_VLfs/view?usp=sharing;ANDREA.4
A102;Aprenda um novo jeito de projetar 5x mais rápido;;Feed;Reprovado;https://drive.google.com/file/d/1lw9bbzQzNHwOWOkQSjEijrivibxXCk0n/view?usp=sharing;ANDREA.5
A103;Se você usa o SketchUP + CAD com certeza sonha com isso!;;Feed;Reprovado;;ANDREA.5
v104;É assim que você descobre o valor da sua hora de trabalho!;05:13 - 05:29, 09:06 - 09:20, 12:00 - 12:12, 12:14 - 12:21;Feed;Enviado;https://drive.google.com/file/d/1bstKijDjAswB3rKv6XIgQiw5g4VQx9LH/view?usp=sharing;Vídeo 9_ Como calcular o valor da sua hora
v105;Esse é o 1º passo para saber quanto custa a sua hora de trabalho!;05:13 - 05:36;Feed;Enviado;https://drive.google.com/file/d/10wTTXH4M7k3xDgtlGV0nKMXIlTVJ8QXE/view?usp=sharing;Vídeo 9_ Como calcular o valor da sua hora
v106;Custo fixo x lucro: Tem certeza que você sabe a diferença;06:21 - 06:41;Feed;Enviado;https://drive.google.com/file/d/1CMCTuWoUeG2QbiNirizPXvfZlfXLuGPs/view?usp=sharing;Vídeo 9_ Como calcular o valor da sua hora
v107;Faça isso e tenha margens de lucros maiores!;06:44 - 07:11;Feed;Enviado;https://drive.google.com/file/d/17e7w5ESO6JnXKA5lhu64JVUlSN7fvz5z/view?usp=sharing;Vídeo 9_ Como calcular o valor da sua hora
v108;Saiba isso e deixe de ser refém das benditas tabelas!! ABD e CAU tchau, tchau!;07:17 - 07:38;Feed;Enviado;https://drive.google.com/file/d/1me2-ZICoX-J1bxj7vixYhIpe0LFq9_-a/view?usp=sharing;Vídeo 9_ Como calcular o valor da sua hora
v109;Como aumentar seu lucro se você vende para o público C?;08:02 - 08:18;Feed;Enviado;https://drive.google.com/file/d/1b2bor30Hj7-MlFBT4y6Ka7N3K2_7HQHf/view?usp=sharing;Vídeo 9_ Como calcular o valor da sua hora
v110;Não faça isso ou seu lucro vai para o RALO!;08:31 - 08:53;Feed;Enviado;https://drive.google.com/file/d/1_ob888wW87uCgkJ_1ErVoKg5X2sFvdzu/view?usp=sharing;Vídeo 9_ Como calcular o valor da sua hora
v111;Descubra o total de horas PRODUTIVAS sua e da equipe, usando essa continha!;09:38 - 11:18;Feed;Enviado;https://drive.google.com/drive/folders/156LiKJquosxJyhWweIITnITSd5x23Rhg?usp=sharing;Vídeo 9_ Como calcular o valor da sua hora
v112;Esse é o pulo do gato na hora de contabilizar suas horas produtivas!;11:41 - 11:58;Feed;Enviado;https://drive.google.com/file/d/1YqUtfUuSgvx7sdOkmkSsjbWfHFy2srYB/view?usp=sharing;Vídeo 9_ Como calcular o valor da sua hora
v113;Afinal, sua hora só vale isso?!! 😱;13:14 - 13:54;Feed;Enviado;https://drive.google.com/file/d/1lrKibFmQQqor3rmjwcRp302dCQEqf_66/view?usp=sharing;Vídeo 9_ Como calcular o valor da sua hora
v114;Você vale muito mais do que as tabelas te disseram!;15:06 - 15:23;Feed;Reprovado;https://drive.google.com/file/d/1a9-nWNaj8b9KxGo7KhBSd3M04xT0iWf2/view?usp=sharing;Vídeo 9_ Como calcular o valor da sua hora
v115;Como dar desconto para o cliente sem sair no prejuizo;15:23 - 15:54;Feed;Enviado;https://drive.google.com/file/d/1ZE9D9aRsI1GricYX3IP4KeswheFMxM4v/view?usp=sharing;Vídeo 9_ Como calcular o valor da sua hora
v132;Esse é o primeiro passo para saber quanto custa sua hora!;05:18 – 05:29;Reels;Enviado;https://drive.google.com/file/d/1lNbsU3Xp5KID2aNEeY4b37MHw4mLFQLg/view?usp=sharing;Vídeo 9_ Como calcular o valor da sua hora
v133;Quer empreender e ainda não faz isso? Você tá doida! 😲;05:38 – 05:53;Reels;Enviado;https://drive.google.com/file/d/1lpND6zRGgvfAs2dhCZWyT8VfizQTXLex/view?usp=sharing;Vídeo 9_ Como calcular o valor da sua hora
v134;Mas que diabo são os custos fixos do seu negócio? 😈 Eu te conto! 😄;06:21 – 06:31;Reels;Enviado;https://drive.google.com/file/d/19pWfAyhpFe1NdoFcI154PSHdf0f7uGRB/view?usp=sharing;Vídeo 9_ Como calcular o valor da sua hora
v135;Seu negócio tá dando lucro? Faça essa continha para descobrir!;06:31 – 06:41;Reels;Enviado;https://drive.google.com/file/d/1GhD1TPUfF2rdNH04f5JNwws6yLZmDJ6Z/view?usp=sharing;Vídeo 9_ Como calcular o valor da sua hora
v136;Isso pode parecer óbvio, mas é sempre bom lembrar!;06:44 – 06:56;Reels;Enviado;https://drive.google.com/file/d/17NQk3UBQBO7zE7D5heweGzafivBPAB2q/view?usp=sharing;Vídeo 9_ Como calcular o valor da sua hora
